t,d01_err,d02_err,d12_err,o_error,o_error_deg
7.98,0.0016,0.0236,0.1182,0.4328,35.97
8.00,0.0016,0.0236,0.1182,0.4345,36.12
8.02,0.0096,0.0334,0.1182,0.4331,35.78
8.04,0.0096,0.0218,0.1237,0.4348,35.93
8.06,0.0009,0.0120,0.1274,0.4394,36.56
8.08,0.0001,0.0219,0.1247,0.4412,36.73
8.10,0.0001,0.0219,0.1247,0.4428,36.88
8.12,0.0077,0.0316,0.1247,0.4411,36.52
8.14,0.0077,0.0233,0.1299,0.4428,36.66
8.16,0.0009,0.0159,0.1321,0.4475,37.31
8.18,0.0016,0.0256,0.1291,0.4492,37.47
8.20,0.0016,0.0256,0.1291,0.4508,37.61
8.22,0.0062,0.0355,0.1291,0.4490,37.24
8.24,0.0062,0.0293,0.1331,0.4506,37.37
8.26,0.0020,0.0242,0.1334,0.4557,38.05
8.28,0.0027,0.0340,0.1301,0.4573,38.20
8.30,0.0027,0.0340,0.1301,0.4588,38.34
8.32,0.0050,0.0439,0.1301,0.4568,37.94
8.34,0.0050,0.0396,0.1333,0.4583,38.07
8.36,0.0030,0.0361,0.1324,0.4633,38.74
8.38,0.0035,0.0459,0.1289,0.4648,38.88
8.40,0.0035,0.0459,0.1289,0.4662,39.00
8.42,0.0041,0.0558,0.1289,0.4642,38.60
8.44,0.0041,0.0529,0.1309,0.4656,38.73
8.46,0.0037,0.0502,0.1290,0.4706,39.39
8.48,0.0038,0.0603,0.1249,0.4721,39.53
8.50,0.0038,0.0603,0.1249,0.4735,39.65
8.52,0.0039,0.0705,0.1249,0.4712,39.22
8.54,0.0039,0.0686,0.1264,0.4725,39.34
8.56,0.0038,0.0667,0.1236,0.4775,40.00
8.58,0.0039,0.0770,0.1191,0.4790,40.13
8.60,0.0039,0.0770,0.1191,0.4803,40.24
8.62,0.0037,0.0872,0.1191,0.4777,39.79
8.64,0.0037,0.0859,0.1199,0.4790,39.91
8.66,0.0038,0.0849,0.1160,0.4843,40.59
8.68,0.0038,0.0951,0.1113,0.4855,40.70
8.70,0.0038,0.0951,0.1113,0.4868,40.81
8.72,0.0037,0.1053,0.1113,0.4841,40.35
8.74,0.0037,0.1039,0.1121,0.4853,40.45
8.76,0.0039,0.1022,0.1082,0.4900,41.10
8.78,0.0041,0.1124,0.1035,0.4907,41.16
8.80,0.0041,0.1124,0.1035,0.4919,41.26
8.82,0.0035,0.1227,0.1035,0.4892,40.80
8.84,0.0035,0.1211,0.1043,0.4904,40.90
8.86,0.0039,0.1193,0.1004,0.4951,41.54
8.88,0.0035,0.1296,0.1004,0.4922,41.06
8.90,0.0039,0.1296,0.0954,0.4969,41.69
8.92,0.0036,0.1399,0.0954,0.4939,41.21
8.94,0.0036,0.1373,0.0965,0.4950,41.30
8.96,0.0040,0.1338,0.0928,0.4995,41.93
8.98,0.0044,0.1440,0.0877,0.5001,42.00
9.00,0.0044,0.1440,0.0877,0.5011,42.08
9.02,0.0029,0.1541,0.0877,0.4982,41.60
9.04,0.0029,0.1494,0.0900,0.4992,41.69
9.06,0.0047,0.1437,0.0876,0.5039,42.34
9.08,0.0052,0.1537,0.0820,0.5047,42.42
9.10,0.0052,0.1537,0.0820,0.5056,42.51
9.12,0.0022,0.1640,0.0820,0.5025,42.00
9.14,0.0022,0.1567,0.0860,0.5034,42.08
9.16,0.0053,0.1483,0.0850,0.5081,42.73
9.18,0.0053,0.1585,0.0791,0.5090,42.81
9.20,0.0053,0.1585,0.0791,0.5098,42.88
9.22,0.0021,0.1688,0.0791,0.5066,42.37
9.24,0.0021,0.1589,0.0848,0.5074,42.44
9.26,0.0052,0.1476,0.0854,0.5122,43.08
9.28,0.0050,0.1579,0.0795,0.5128,43.13
9.30,0.0050,0.1579,0.0795,0.5136,43.20
9.32,0.0022,0.1681,0.0795,0.5102,42.67
9.34,0.0022,0.1554,0.0868,0.5109,42.74
9.36,0.0051,0.1414,0.0888,0.5154,43.37
9.38,0.0051,0.1518,0.0832,0.5155,43.38
9.40,0.0051,0.1518,0.0832,0.5162,43.44
9.42,0.0019,0.1619,0.0832,0.5127,42.90
9.44,0.0019,0.1465,0.0913,0.5133,42.95
9.46,0.0052,0.1301,0.0939,0.5179,43.59
9.48,0.0055,0.1402,0.0882,0.5184,43.64
9.50,0.0055,0.1402,0.0882,0.5189,43.69
9.52,0.0016,0.1504,0.0882,0.5153,43.14
9.54,0.0016,0.1331,0.0965,0.5159,43.19
9.56,0.0057,0.1151,0.0990,0.5204,43.83
9.58,0.0057,0.1255,0.0935,0.5205,43.84
9.60,0.0057,0.1255,0.0935,0.5210,43.88
9.62,0.0016,0.1360,0.0935,0.5172,43.31
9.64,0.0016,0.1175,0.1012,0.5176,43.35
9.66,0.0056,0.1175,0.0956,0.5222,43.98
9.68,0.0056,0.1090,0.0974,0.5224,44.00
9.70,0.0056,0.1090,0.0974,0.5228,44.03
9.72,0.0016,0.1194,0.0974,0.5188,43.45
9.74,0.0016,0.1003,0.1037,0.5192,43.48
9.76,0.0054,0.1003,0.0987,0.5234,44.09
9.78,0.0053,0.0919,0.0986,0.5235,44.09
9.80,0.0053,0.0919,0.0986,0.5238,44.12
9.82,0.0019,0.1023,0.0986,0.5198,43.52
9.84,0.0019,0.0837,0.1024,0.5200,43.55
9.86,0.0052,0.0657,0.1001,0.5240,44.13
